,bike_date,km_score,tripduration_x,bike_trip_count_x,holiday_x,weekend_x,tripduration_x,bike_trip_count_x,holiday_y,weekend_y
104,2015-04-15,2.25695218613,11.8625553039,584,0,0,11.8625553039,584,-0.298842584326,-0.630377459427
78,2015-03-20,1.93134622474,8.26193868165,193,0,1,8.26193868165,193,-0.298842584326,1.58200497029
39,2015-02-09,1.92205397926,8.96076206402,103,0,0,8.96076206402,103,-0.298842584326,-0.630377459427
149,2015-05-30,1.90670102418,17.857473787,295,0,1,17.857473787,295,-0.298842584326,1.58200497029
65,2015-03-07,1.89055018849,41.5725623583,50,0,1,41.5725623583,50,-0.298842584326,1.58200497029
13,2015-01-14,1.88713142598,9.10062306494,357,0,0,9.10062306494,357,-0.298842584326,-0.630377459427
105,2015-04-16,1.8625718113,11.8475145218,617,0,0,11.8475145218,617,-0.298842584326,-0.630377459427
75,2015-03-17,1.83894470738,14.3907575601,347,0,0,14.3907575601,347,-0.298842584326,-0.630377459427
110,2015-04-21,1.8186249539,13.0473717836,496,0,0,13.0473717836,496,-0.298842584326,-0.630377459427
84,2015-03-26,1.79634372674,9.62154510834,414,0,0,9.62154510834,414,-0.298842584326,-0.630377459427
214,2015-08-03,1.76796434451,13.1833410203,673,0,0,13.1833410203,673,-0.298842584326,-0.630377459427
247,2015-09-05,1.72050782964,19.940818478,336,0,1,19.940818478,336,-0.298842584326,1.58200497029
157,2015-06-07,1.67124524262,24.8628224523,357,0,0,24.8628224523,357,-0.298842584326,-0.630377459427
94,2015-04-05,1.6612366174,18.4667882214,186,0,0,18.4667882214,186,-0.298842584326,-0.630377459427
180,2015-06-30,1.56878634476,12.1087266324,755,0,0,12.1087266324,755,-0.298842584326,-0.630377459427
150,2015-05-31,1.56145807228,19.8908482143,160,0,0,19.8908482143,160,-0.298842584326,-0.630377459427
100,2015-04-11,1.46814680017,22.5407929476,164,0,1,22.5407929476,164,-0.298842584326,1.58200497029
143,2015-05-24,1.45413933339,33.1260450901,281,1,0,33.1260450901,281,3.33707552497,-0.630377459427
228,2015-08-17,1.43289605595,13.4111414029,655,0,0,13.4111414029,655,-0.298842584326,-0.630377459427
168,2015-06-18,1.43147581348,12.8163953846,743,0,0,12.8163953846,743,-0.298842584326,-0.630377459427
116,2015-04-27,1.43056112194,11.5004445189,566,0,0,11.5004445189,566,-0.298842584326,-0.630377459427
198,2015-07-18,1.42794850802,17.1026362907,271,0,1,17.1026362907,271,-0.298842584326,1.58200497029
118,2015-04-29,1.41368807892,11.8028064449,629,0,0,11.8028064449,629,-0.298842584326,-0.630377459427
266,2015-09-24,1.41113535934,14.6903347295,695,0,0,14.6903347295,695,-0.298842584326,-0.630377459427
323,2015-11-20,1.41112022016,15.6687640408,962,0,1,15.6687640408,962,-0.298842584326,1.58200497029
36,2015-02-06,1.37019834676,10.6336720971,258,0,1,10.6336720971,258,-0.298842584326,1.58200497029
2,2015-01-03,1.36561384818,11.4523809524,26,0,1,11.4523809524,26,-0.298842584326,1.58200497029
37,2015-02-07,1.36393543515,9.41836734694,63,0,1,9.41836734694,63,-0.298842584326,1.58200497029
250,2015-09-08,1.36382805823,11.703350877,780,1,0,11.703350877,780,3.33707552497,-0.630377459427
283,2015-10-11,1.35110708452,26.345754264,434,1,0,26.345754264,434,3.33707552497,-0.630377459427
275,2015-10-03,1.34349048492,11.784653092,137,0,1,11.784653092,137,-0.298842584326,1.58200497029
291,2015-10-19,1.34116454683,18.0765144874,1040,0,0,18.0765144874,1040,-0.298842584326,-0.630377459427
297,2015-10-25,1.32895989849,15.648738411,316,0,0,15.648738411,316,-0.298842584326,-0.630377459427
223,2015-08-12,1.30504765918,13.8566555252,757,0,0,13.8566555252,757,-0.298842584326,-0.630377459427
86,2015-03-28,1.27958641777,13.0,3,0,1,13.0,3,-0.298842584326,1.58200497029
147,2015-05-28,1.2759142081,12.1456354219,850,0,0,12.1456354219,850,-0.298842584326,-0.630377459427
310,2015-11-07,1.26370930655,23.4917777461,377,0,1,23.4917777461,377,-0.298842584326,1.58200497029
53,2015-02-23,1.26240552257,8.74122493415,225,0,0,8.74122493415,225,-0.298842584326,-0.630377459427
352,2015-12-19,1.25664242422,21.0271508202,210,0,1,21.0271508202,210,-0.298842584326,1.58200497029
308,2015-11-05,1.24993540396,13.0888148892,939,0,0,13.0888148892,939,-0.298842584326,-0.630377459427
325,2015-11-22,1.24773343796,17.3819559878,287,0,0,17.3819559878,287,-0.298842584326,-0.630377459427
305,2015-11-02,1.2463475859,12.9638747856,1025,0,0,12.9638747856,1025,-0.298842584326,-0.630377459427
128,2015-05-09,1.23857516701,46.654257426,263,0,1,46.654257426,263,-0.298842584326,1.58200497029
342,2015-12-09,1.22863446886,12.6183279053,897,0,0,12.6183279053,897,-0.298842584326,-0.630377459427
8,2015-01-09,1.21690436311,9.08739934008,169,0,1,9.08739934008,169,-0.298842584326,1.58200497029
102,2015-04-13,1.21437834667,12.8389552923,601,0,0,12.8389552923,601,-0.298842584326,-0.630377459427
10,2015-01-11,1.17793088596,9.39965986395,61,0,0,9.39965986395,61,-0.298842584326,-0.630377459427
307,2015-11-04,1.16080367078,14.5071345242,1115,0,0,14.5071345242,1115,-0.298842584326,-0.630377459427
216,2015-08-05,1.14803031697,14.2719330161,747,0,0,14.2719330161,747,-0.298842584326,-0.630377459427
23,2015-01-24,1.11924334321,10.5828231293,52,0,1,10.5828231293,52,-0.298842584326,1.58200497029
178,2015-06-28,1.11245784099,16.171985045,180,0,0,16.171985045,180,-0.298842584326,-0.630377459427
133,2015-05-14,1.10477593582,12.9608623896,848,0,0,12.9608623896,848,-0.298842584326,-0.630377459427
134,2015-05-15,1.10476403855,12.7747620197,753,0,1,12.7747620197,753,-0.298842584326,1.58200497029
109,2015-04-20,1.10127949885,9.47404826665,195,0,0,9.47404826665,195,-0.298842584326,-0.630377459427
159,2015-06-09,1.06411631855,13.6101354935,798,0,0,13.6101354935,798,-0.298842584326,-0.630377459427
181,2015-07-01,1.05155426913,13.4724425909,717,0,0,13.4724425909,717,-0.298842584326,-0.630377459427
248,2015-09-06,1.04280898656,20.1965311005,330,1,0,20.1965311005,330,3.33707552497,-0.630377459427
114,2015-04-25,1.04020582119,22.7860810563,173,0,1,22.7860810563,173,-0.298842584326,1.58200497029
316,2015-11-13,1.03887229761,13.8235400475,906,0,1,13.8235400475,906,-0.298842584326,1.58200497029
161,2015-06-11,1.02408690279,12.2719728,838,0,0,12.2719728,838,-0.298842584326,-0.630377459427
145,2015-05-26,1.02322133908,12.5882709766,808,1,0,12.5882709766,808,3.33707552497,-0.630377459427
202,2015-07-22,1.00750943953,13.2170864252,692,0,0,13.2170864252,692,-0.298842584326,-0.630377459427
123,2015-05-04,0.995231626439,14.4530670207,677,0,0,14.4530670207,677,-0.298842584326,-0.630377459427
99,2015-04-10,0.994876586991,10.933468375,364,0,1,10.933468375,364,-0.298842584326,1.58200497029
54,2015-02-24,0.99291489152,9.07740048722,178,0,0,9.07740048722,178,-0.298842584326,-0.630377459427
179,2015-06-29,0.984550507534,13.9373945476,740,0,0,13.9373945476,740,-0.298842584326,-0.630377459427
272,2015-09-30,0.971193135415,13.0477869625,721,0,0,13.0477869625,721,-0.298842584326,-0.630377459427
175,2015-06-25,0.965808495523,13.618375749,796,0,0,13.618375749,796,-0.298842584326,-0.630377459427
101,2015-04-12,0.942821426457,16.9108642308,209,0,0,16.9108642308,209,-0.298842584326,-0.630377459427
229,2015-08-18,0.939706118114,12.844528661,700,0,0,12.844528661,700,-0.298842584326,-0.630377459427
29,2015-01-30,0.938468705538,10.5255343028,255,0,1,10.5255343028,255,-0.298842584326,1.58200497029
38,2015-02-08,0.936204170666,9.32139764997,55,0,0,9.32139764997,55,-0.298842584326,-0.630377459427
9,2015-01-10,0.934256532938,10.0332611833,57,0,1,10.0332611833,57,-0.298842584326,1.58200497029
5,2015-01-06,0.932308801326,9.13956761911,261,0,0,9.13956761911,261,-0.298842584326,-0.630377459427
339,2015-12-06,0.918779644167,16.8183707586,292,0,0,16.8183707586,292,-0.298842584326,-0.630377459427
185,2015-07-05,0.914778917935,23.1964101123,247,0,0,23.1964101123,247,-0.298842584326,-0.630377459427
235,2015-08-24,0.909350525549,12.3760614747,752,0,0,12.3760614747,752,-0.298842584326,-0.630377459427
95,2015-04-06,0.909128710074,15.2854591757,489,0,0,15.2854591757,489,-0.298842584326,-0.630377459427
144,2015-05-25,0.90236105594,30.6793698956,392,1,0,30.6793698956,392,3.33707552497,-0.630377459427
191,2015-07-11,0.890995292757,23.7615673155,302,0,1,23.7615673155,302,-0.298842584326,1.58200497029
25,2015-01-26,0.883332666419,8.25696922125,105,0,0,8.25696922125,105,-0.298842584326,-0.630377459427
125,2015-05-06,0.882265006365,11.2376834002,583,0,0,11.2376834002,583,-0.298842584326,-0.630377459427
295,2015-10-23,0.882059793527,13.9761044176,874,0,1,13.9761044176,874,-0.298842584326,1.58200497029
97,2015-04-08,0.877813210418,11.1614269103,442,0,0,11.1614269103,442,-0.298842584326,-0.630377459427
81,2015-03-23,0.872541812284,9.38324545019,377,0,0,9.38324545019,377,-0.298842584326,-0.630377459427
42,2015-02-12,0.872088082535,12.716271028,265,0,0,12.716271028,265,-0.298842584326,-0.630377459427
353,2015-12-20,0.869601285144,17.0155479719,172,0,0,17.0155479719,172,-0.298842584326,-0.630377459427
24,2015-01-25,0.85355366386,12.8605946765,101,0,0,12.8605946765,101,-0.298842584326,-0.630377459427
74,2015-03-16,0.852519869972,11.573228828,455,0,0,11.573228828,455,-0.298842584326,-0.630377459427
59,2015-03-01,0.848822557504,11.0523148148,37,0,0,11.0523148148,37,-0.298842584326,-0.630377459427
317,2015-11-14,0.845115363328,16.214726569,229,0,1,16.214726569,229,-0.298842584326,1.58200497029
301,2015-10-29,0.84387484598,13.3228591405,1080,0,0,13.3228591405,1080,-0.298842584326,-0.630377459427
355,2015-12-22,0.84265832482,12.3355590754,634,0,0,12.3355590754,634,-0.298842584326,-0.630377459427
188,2015-07-08,0.841689138166,12.8060282661,761,0,0,12.8060282661,761,-0.298842584326,-0.630377459427
259,2015-09-17,0.833572772891,13.5197279442,892,0,0,13.5197279442,892,-0.298842584326,-0.630377459427
346,2015-12-13,0.823774758742,16.8638846597,340,0,0,16.8638846597,340,-0.298842584326,-0.630377459427
261,2015-09-19,0.81850271339,25.6408053296,389,0,1,25.6408053296,389,-0.298842584326,1.58200497029
1,2015-01-02,0.816819377336,15.5300441332,290,1,1,15.5300441332,290,3.33707552497,1.58200497029
79,2015-03-21,0.814031279763,13.3696319553,95,0,1,13.3696319553,95,-0.298842584326,1.58200497029
276,2015-10-04,0.811999699466,21.8286959655,288,0,0,21.8286959655,288,-0.298842584326,-0.630377459427
107,2015-04-18,0.807960486647,23.5275556685,261,0,1,23.5275556685,261,-0.298842584326,1.58200497029
169,2015-06-19,0.803852772907,13.1880414498,685,0,1,13.1880414498,685,-0.298842584326,1.58200497029
343,2015-12-10,0.803151340582,12.1903141825,972,0,0,12.1903141825,972,-0.298842584326,-0.630377459427
318,2015-11-15,0.801089563534,18.533261447,302,0,0,18.533261447,302,-0.298842584326,-0.630377459427
122,2015-05-03,0.796399294541,19.4213227745,259,0,0,19.4213227745,259,-0.298842584326,-0.630377459427
200,2015-07-20,0.795992637005,12.6929347335,579,0,0,12.6929347335,579,-0.298842584326,-0.630377459427
363,2015-12-30,0.791911990402,13.5645083754,528,0,0,13.5645083754,528,-0.298842584326,-0.630377459427
282,2015-10-10,0.7792500705,19.4084713391,379,0,1,19.4084713391,379,-0.298842584326,1.58200497029
136,2015-05-17,0.775013398743,25.9127148401,288,0,0,25.9127148401,288,-0.298842584326,-0.630377459427
285,2015-10-13,0.765223587706,13.9908452416,952,1,0,13.9908452416,952,3.33707552497,-0.630377459427
82,2015-03-24,0.754392338632,9.70172222437,438,0,0,9.70172222437,438,-0.298842584326,-0.630377459427
326,2015-11-23,0.753254186264,15.5176413868,784,0,0,15.5176413868,784,-0.298842584326,-0.630377459427
227,2015-08-16,0.751770961183,18.7516714903,308,0,0,18.7516714903,308,-0.298842584326,-0.630377459427
273,2015-10-01,0.744218545845,19.8552753283,729,0,0,19.8552753283,729,-0.298842584326,-0.630377459427
219,2015-08-08,0.73380031828,27.0313885712,768,0,1,27.0313885712,768,-0.298842584326,1.58200497029
87,2015-03-29,0.733716932278,21.4841046381,98,0,0,21.4841046381,98,-0.298842584326,-0.630377459427
286,2015-10-14,0.72803011649,15.4677440601,1096,0,0,15.4677440601,1096,-0.298842584326,-0.630377459427
127,2015-05-08,0.724333616056,12.9352091911,712,0,1,12.9352091911,712,-0.298842584326,1.58200497029
35,2015-02-05,0.722831487465,10.3118630196,256,0,0,10.3118630196,256,-0.298842584326,-0.630377459427
292,2015-10-20,0.721351367096,16.4243302172,1277,0,0,16.4243302172,1277,-0.298842584326,-0.630377459427
251,2015-09-09,0.718666850513,12.3343210641,859,0,0,12.3343210641,859,-0.298842584326,-0.630377459427
268,2015-09-26,0.717233132313,21.9794870409,414,0,1,21.9794870409,414,-0.298842584326,1.58200497029
3,2015-01-04,0.7083172516,11.7777777778,77,0,0,11.7777777778,77,-0.298842584326,-0.630377459427
194,2015-07-14,0.694319144777,11.8587488122,676,0,0,11.8587488122,676,-0.298842584326,-0.630377459427
31,2015-02-01,0.688105118183,10.3790685505,61,0,0,10.3790685505,61,-0.298842584326,-0.630377459427
226,2015-08-15,0.685146109754,26.520118729,757,0,1,26.520118729,757,-0.298842584326,1.58200497029
233,2015-08-22,0.676213676437,18.2120079214,266,0,1,18.2120079214,266,-0.298842584326,1.58200497029
117,2015-04-28,0.670600646797,12.2769998297,647,0,0,12.2769998297,647,-0.298842584326,-0.630377459427
356,2015-12-23,0.661607026945,12.2636628348,285,0,0,12.2636628348,285,-0.298842584326,-0.630377459427
205,2015-07-25,0.660960569434,24.7153815557,290,0,1,24.7153815557,290,-0.298842584326,1.58200497029
207,2015-07-27,0.65830616141,14.5764268647,624,0,0,14.5764268647,624,-0.298842584326,-0.630377459427
364,2015-12-31,0.657211391938,14.3812865255,426,1,0,14.3812865255,426,3.33707552497,-0.630377459427
71,2015-03-13,0.655909204013,10.9457969941,396,0,1,10.9457969941,396,-0.298842584326,1.58200497029
277,2015-10-05,0.653854181934,14.345930349,803,0,0,14.345930349,803,-0.298842584326,-0.630377459427
96,2015-04-07,0.651290455489,9.71061717791,413,0,0,9.71061717791,413,-0.298842584326,-0.630377459427
262,2015-09-20,0.647298051981,27.7724047596,361,0,0,27.7724047596,361,-0.298842584326,-0.630377459427
212,2015-08-01,0.639637726522,26.891311763,684,0,1,26.891311763,684,-0.298842584326,1.58200497029
232,2015-08-21,0.624432320671,13.0780542767,678,0,1,13.0780542767,678,-0.298842584326,1.58200497029
108,2015-04-19,0.620361301818,22.4720135107,219,0,0,22.4720135107,219,-0.298842584326,-0.630377459427
204,2015-07-24,0.619023516553,13.4156280636,700,0,1,13.4156280636,700,-0.298842584326,1.58200497029
249,2015-09-07,0.614720335672,19.9608126358,308,1,0,19.9608126358,308,3.33707552497,-0.630377459427
362,2015-12-29,0.613438681753,11.1087135747,308,0,0,11.1087135747,308,-0.298842584326,-0.630377459427
290,2015-10-18,0.608574528874,15.3888162368,228,0,0,15.3888162368,228,-0.298842584326,-0.630377459427
130,2015-05-11,0.607795032116,12.6518791206,625,0,0,12.6518791206,625,-0.298842584326,-0.630377459427
270,2015-09-28,0.6042182017,21.4100907907,852,0,0,21.4100907907,852,-0.298842584326,-0.630377459427
170,2015-06-20,0.598904836945,17.2143833065,199,0,1,17.2143833065,199,-0.298842584326,1.58200497029
132,2015-05-13,0.57973059879,12.3157334124,730,0,0,12.3157334124,730,-0.298842584326,-0.630377459427
222,2015-08-11,0.576115508291,15.1186236891,371,0,0,15.1186236891,371,-0.298842584326,-0.630377459427
313,2015-11-10,0.574352492007,11.6292072949,548,1,0,11.6292072949,548,3.33707552497,-0.630377459427
302,2015-10-30,0.571588458625,17.7872282525,982,0,1,17.7872282525,982,-0.298842584326,1.58200497029
48,2015-02-18,0.570167812192,10.3185605045,250,0,0,10.3185605045,250,-0.298842584326,-0.630377459427
309,2015-11-06,0.563831297394,15.6869217979,1077,0,1,15.6869217979,1077,-0.298842584326,1.58200497029
271,2015-09-29,0.563185443842,18.1008548384,890,0,0,18.1008548384,890,-0.298842584326,-0.630377459427
20,2015-01-21,0.561075787331,10.1273105689,348,0,0,10.1273105689,348,-0.298842584326,-0.630377459427
279,2015-10-07,0.555595851826,14.2978672471,846,0,0,14.2978672471,846,-0.298842584326,-0.630377459427
239,2015-08-28,0.545500625791,12.2084582034,722,0,1,12.2084582034,722,-0.298842584326,1.58200497029
221,2015-08-10,0.545253411901,14.0754610939,687,0,0,14.0754610939,687,-0.298842584326,-0.630377459427
131,2015-05-12,0.539187986416,12.3905040519,724,0,0,12.3905040519,724,-0.298842584326,-0.630377459427
347,2015-12-14,0.537904797589,12.9024238272,881,0,0,12.9024238272,881,-0.298842584326,-0.630377459427
312,2015-11-09,0.537440777446,14.7027151971,1004,0,0,14.7027151971,1004,-0.298842584326,-0.630377459427
44,2015-02-14,0.527042769846,12.6318681319,39,0,1,12.6318681319,39,-0.298842584326,1.58200497029
72,2015-03-14,0.52581157212,11.2452380952,29,0,1,11.2452380952,29,-0.298842584326,1.58200497029
4,2015-01-05,0.52528415274,9.34083452885,386,0,0,9.34083452885,386,-0.298842584326,-0.630377459427
335,2015-12-02,0.523956970293,11.3724285306,581,0,0,11.3724285306,581,-0.298842584326,-0.630377459427
52,2015-02-22,0.518246387076,16.1975881262,38,0,0,16.1975881262,38,-0.298842584326,-0.630377459427
63,2015-03-05,0.515667776584,17.3746031746,40,0,0,17.3746031746,40,-0.298842584326,-0.630377459427
16,2015-01-17,0.514476354814,10.7362811791,57,0,1,10.7362811791,57,-0.298842584326,1.58200497029
293,2015-10-21,0.512065149302,14.6955263102,1154,0,0,14.6955263102,1154,-0.298842584326,-0.630377459427
83,2015-03-25,0.507500176047,10.3623244715,417,0,0,10.3623244715,417,-0.298842584326,-0.630377459427
334,2015-12-01,0.502703884225,11.9950945674,482,0,0,11.9950945674,482,-0.298842584326,-0.630377459427
190,2015-07-10,0.501050826865,14.9916145561,709,0,1,14.9916145561,709,-0.298842584326,1.58200497029
243,2015-09-01,0.501018232119,13.0231005966,840,0,0,13.0231005966,840,-0.298842584326,-0.630377459427
11,2015-01-12,0.486445612512,9.85213950627,228,0,0,9.85213950627,228,-0.298842584326,-0.630377459427
192,2015-07-12,0.483352933687,19.0667162943,314,0,0,19.0667162943,314,-0.298842584326,-0.630377459427
47,2015-02-17,0.47577004966,10.6642155464,101,1,0,10.6642155464,101,3.33707552497,-0.630377459427
18,2015-01-19,0.473983083902,13.7438980431,143,1,0,13.7438980431,143,3.33707552497,-0.630377459427
50,2015-02-20,0.473849539742,10.3975432679,175,0,1,10.3975432679,175,-0.298842584326,1.58200497029
253,2015-09-11,0.473771661202,13.6045135031,836,0,1,13.6045135031,836,-0.298842584326,1.58200497029
176,2015-06-26,0.472987377516,16.2754873535,684,0,1,16.2754873535,684,-0.298842584326,1.58200497029
33,2015-02-03,0.470012333798,15.6390187893,113,0,0,15.6390187893,113,-0.298842584326,-0.630377459427
328,2015-11-25,0.466607823675,19.5286306869,756,1,0,19.5286306869,756,3.33707552497,-0.630377459427
303,2015-10-31,0.461968601382,17.8702318082,336,0,1,17.8702318082,336,-0.298842584326,1.58200497029
